epoch,step,train_loss,val_accuracy,val_f1,val_loss,val_precision,val_recall
0,49,0.19805744290351868,,,,,
0,99,0.1247633546590805,,,,,
0,149,0.1278952658176422,,,,,
0,189,,0.949999988079071,0.9522900581359863,0.12077470123767853,0.9105839133262634,0.9980000257492065
1,199,0.11581581085920334,,,,,
1,249,0.058858975768089294,,,,,
1,299,0.05764966830611229,,,,,
1,349,0.06452780961990356,,,,,
1,379,,0.9779999852180481,0.9782823324203491,0.05837360396981239,0.9658869504928589,0.9909999966621399
2,399,0.055646032094955444,,,,,
2,449,0.0831027626991272,,,,,
2,499,0.08706815540790558,,,,,
2,549,0.0746694877743721,,,,,
2,569,,0.9670000076293945,0.9678048491477966,0.07973769307136536,0.9447619318962097,0.9919999837875366
3,599,0.05933457985520363,,,,,
3,649,0.08782138675451279,,,,,
3,699,0.06788504868745804,,,,,
3,749,0.09206553548574448,,,,,
3,759,,0.9775000214576721,0.9778652191162109,0.053204163908958435,0.9622458815574646,0.9940000176429749
4,799,0.055272284895181656,,,,,
4,849,0.06492386758327484,,,,,
4,899,0.02545909956097603,,,,,
4,949,0.02590220235288143,,,,,
4,949,,0.9825000166893005,0.9827331304550171,0.0515148788690567,0.9698150157928467,0.9959999918937683
5,999,0.04959006607532501,,,,,
5,1049,0.032890647649765015,,,,,
5,1099,0.07767380028963089,,,,,
5,1139,,0.9729999899864197,0.9735811948776245,0.0717419683933258,0.9530651569366455,0.9950000047683716
6,1149,0.04080944508314133,,,,,
6,1199,0.01071292906999588,,,,,
6,1249,0.06586816161870956,,,,,
6,1299,0.0400320328772068,,,,,
6,1329,,0.9900000095367432,0.9900299310684204,0.033000312745571136,0.987077534198761,0.9929999709129333
7,1349,0.09388541430234909,,,,,
7,1399,0.012082476168870926,,,,,
7,1449,0.04092270880937576,,,,,
7,1499,0.04012271389365196,,,,,
7,1519,,0.9879999756813049,0.988095223903656,0.03582633286714554,0.9803149700164795,0.9959999918937683
8,1549,0.03427674621343613,,,,,
8,1599,0.02876785211265087,,,,,
8,1649,0.07513029128313065,,,,,
8,1699,0.024576611816883087,,,,,
8,1709,,0.9760000109672546,0.976331353187561,0.060394179075956345,0.9630350470542908,0.9900000095367432
9,1749,0.02259630151093006,,,,,
9,1799,0.01672196201980114,,,,,
9,1849,0.04805387929081917,,,,,
9,1899,0.013192534446716309,,,,,
9,1899,,0.968500018119812,0.9693430662155151,0.08884482085704803,0.9440758228302002,0.9959999918937683
10,1949,0.061746347695589066,,,,,
10,1999,0.03673819079995155,,,,,
10,2049,0.015261148102581501,,,,,
10,2089,,0.9804999828338623,0.9806451797485352,0.04993478208780289,0.9733990430831909,0.9879999756813049
11,2099,0.011598281562328339,,,,,
11,2149,0.032552532851696014,,,,,
11,2199,0.019665850326418877,,,,,
11,2249,0.024610094726085663,,,,,
11,2279,,0.9819999933242798,0.9822834730148315,0.05341552942991257,0.9670542478561401,0.9980000257492065
